round,selected_turn_id,max_entropy,min_slot_acc,select_turn_per_round_time
0,SNG0998-5,2609.354736328125,0,60665.47081017494
0,PMUL4960-2,2817.5634765625,0,60665.47081017494
0,PMUL0910-6,2727.6025390625,0,60665.47081017494
0,PMUL1628-5,2821.869384765625,0,60665.47081017494
0,PMUL0952-4,2858.056640625,0,60665.47081017494
0,MUL2633-7,2694.83349609375,0,60665.47081017494
0,MUL0325-5,2836.921875,0,60665.47081017494
0,PMUL1367-3,2795.19677734375,0,60665.47081017494
0,SNG1335-2,2896.317626953125,0,60665.47081017494
0,PMUL2772-6,2668.685302734375,0,60665.47081017494
0,SSNG0173-2,2153.552001953125,0,60665.47081017494
0,SNG1124-2,2846.244384765625,0,60665.47081017494
0,SNG02304-3,2637.194580078125,0,60665.47081017494
0,PMUL2161-3,2326.160888671875,0,60665.47081017494
0,WOZ20090-3,2766.95166015625,0,60665.47081017494
0,MUL2539-6,2844.559814453125,0,60665.47081017494
0,MUL1708-6,2843.203369140625,0,60665.47081017494
0,MUL0284-3,2752.380859375,0,60665.47081017494
0,SNG1349-2,2845.6962890625,0,60665.47081017494
0,MUL1023-8,2757.42041015625,0,60665.47081017494
0,PMUL2660-6,2824.00341796875,0,60665.47081017494
0,PMUL3116-4,2415.31787109375,0,60665.47081017494
0,PMUL4549-4,2904.15673828125,0,60665.47081017494
0,MUL1625-6,2872.742431640625,0,60665.47081017494
0,SNG0557-3,2813.087158203125,0,60665.47081017494
0,SSNG0062-3,2764.879150390625,0,60665.47081017494
0,MUL1752-2,2835.6240234375,0,60665.47081017494
0,SNG0989-3,2334.025390625,0,60665.47081017494
0,PMUL0676-6,2753.0478515625,0,60665.47081017494
0,MUL0790-5,2761.650146484375,0,60665.47081017494
0,SNG1291-2,2874.36376953125,0,60665.47081017494
0,PMUL3051-6,2861.530517578125,0,60665.47081017494
0,SNG01210-3,2726.218017578125,0,60665.47081017494
0,MUL1736-5,2868.19482421875,0,60665.47081017494
0,PMUL2512-9,2926.092529296875,0,60665.47081017494
0,MUL0577-4,2844.6904296875,0,60665.47081017494
0,MUL0343-11,2918.473876953125,0,60665.47081017494
0,SNG1030-2,2212.334228515625,0,60665.47081017494
0,SSNG0259-2,2800.79638671875,0,60665.47081017494
0,PMUL2802-1,2949.092041015625,0,60665.47081017494
0,SNG0719-2,2894.651123046875,0,60665.47081017494
0,PMUL3816-6,2886.53076171875,0,60665.47081017494
0,PMUL4052-4,2919.27099609375,0,60665.47081017494
0,MUL2182-5,2810.88037109375,0,60665.47081017494
0,WOZ20247-3,2761.70654296875,0,60665.47081017494
0,SNG02317-3,2477.15966796875,0,60665.47081017494
0,MUL1480-5,2856.859130859375,0,60665.47081017494
0,PMUL2228-7,2867.055419921875,0,60665.47081017494
0,SNG0467-2,2101.20068359375,0,60665.47081017494
0,MUL0101-8,2758.182861328125,0,60665.47081017494
0,SSNG0190-3,2734.171875,0,60665.47081017494
0,SSNG0252-6,2643.82373046875,0,60665.47081017494
0,PMUL0528-4,2803.16162109375,0,60665.47081017494
0,PMUL2944-5,2856.325439453125,0,60665.47081017494
0,PMUL4216-4,2782.978759765625,0,60665.47081017494
0,PMUL1819-3,2669.238037109375,0,60665.47081017494
0,SSNG0241-5,2261.02783203125,0,60665.47081017494
0,PMUL3210-8,2431.633056640625,0,60665.47081017494
0,PMUL2007-3,2750.143798828125,0,60665.47081017494
0,SNG1371-4,2737.232177734375,0,60665.47081017494
0,SNG0787-4,2606.056640625,0,60665.47081017494
0,MUL1779-7,2872.490966796875,0,60665.47081017494
0,MUL0235-4,2866.375,0,60665.47081017494
0,SNG1397-2,2823.64306640625,0,60665.47081017494
0,WOZ20268-3,2773.479248046875,0,60665.47081017494
0,PMUL2293-6,2837.59814453125,0,60665.47081017494
0,PMUL1299-2,2839.835205078125,0,60665.47081017494
0,WOZ20045-2,2496.019287109375,0,60665.47081017494
0,SNG0873-3,2792.934814453125,0,60665.47081017494
0,SNG0251-5,2898.973388671875,0,60665.47081017494
0,PMUL1251-0,2877.206787109375,0,60665.47081017494
0,MUL2650-1,2381.6103515625,0,60665.47081017494
0,PMUL3237-7,2707.58984375,0,60665.47081017494
0,SNG1083-4,2872.055908203125,0,60665.47081017494
0,MUL2606-7,2661.721435546875,0,60665.47081017494
0,PMUL3653-7,2905.585205078125,0,60665.47081017494
0,PMUL0387-1,2907.46435546875,0,60665.47081017494
0,MUL0417-5,2889.41259765625,0,60665.47081017494
0,MUL0349-9,2892.1064453125,0,60665.47081017494
0,MUL1322-6,2700.755615234375,0,60665.47081017494
0,PMUL2825-1,2546.820556640625,0,60665.47081017494
0,SNG02136-5,2819.236328125,0,60665.47081017494
0,PMUL3043-7,2791.71533203125,0,60665.47081017494
0,MUL0037-3,2841.20751953125,0,60665.47081017494
0,MUL0793-2,2809.106689453125,0,60665.47081017494
0,SNG0411-5,2846.40673828125,0,60665.47081017494
0,PMUL2960-2,2810.920654296875,0,60665.47081017494
0,PMUL3915-2,2661.01611328125,0,60665.47081017494
0,MUL1893-3,2818.61865234375,0,60665.47081017494
0,MUL0257-3,2802.008544921875,0,60665.47081017494
0,SSNG0225-7,2707.356689453125,0,60665.47081017494
0,PMUL2572-3,2891.33251953125,0,60665.47081017494
0,MUL0393-3,2919.51025390625,0,60665.47081017494
0,WOZ20319-2,2915.04150390625,0,60665.47081017494
0,WOZ20088-3,2788.403076171875,0,60665.47081017494
0,WOZ20456-2,2306.104248046875,0,60665.47081017494
0,PMUL3042-4,2767.6494140625,0,60665.47081017494
0,PMUL1914-12,2848.701416015625,0,60665.47081017494
0,MUL1196-1,2773.293212890625,0,60665.47081017494
0,MUL0019-4,2857.523681640625,0,60665.47081017494
0,PMUL0608-3,2844.250732421875,0,60665.47081017494
0,MUL0189-0,2832.654541015625,0,60665.47081017494
0,WOZ20605-3,2549.970458984375,0,60665.47081017494
0,MUL0433-5,2792.98095703125,0,60665.47081017494
0,SNG02106-5,2846.8310546875,0,60665.47081017494
0,PMUL1934-9,2778.233642578125,0,60665.47081017494
0,WOZ20036-2,2713.07080078125,0,60665.47081017494
0,SNG01451-4,2890.839599609375,0,60665.47081017494
0,MUL1009-5,2702.120361328125,0,60665.47081017494
0,SNG02053-6,2774.98291015625,0,60665.47081017494
0,PMUL2254-2,2730.13525390625,0,60665.47081017494
0,WOZ20638-2,2271.883056640625,0,60665.47081017494
0,PMUL1164-5,2873.297119140625,0,60665.47081017494
0,SNG1395-3,2566.677001953125,0,60665.47081017494
0,PMUL3522-3,2884.487060546875,0,60665.47081017494
0,SSNG0103-3,2401.3525390625,0,60665.47081017494
0,SNG0361-4,2722.81689453125,0,60665.47081017494
