round,selected_turn_id,max_entropy,min_confidence,select_turn_per_round_time
0,PMUL3578-8,2592.281005859375,0,73395.242030859
0,MUL1534-6,2617.284912109375,0,73395.242030859
0,MUL2038-2,2598.30712890625,0,73395.242030859
0,MUL1665-6,2585.9306640625,0,73395.242030859
0,SNG01160-5,2598.044189453125,0,73395.242030859
0,PMUL0061-5,2596.016357421875,0,73395.242030859
0,PMUL3459-0,2411.93701171875,0,73395.242030859
0,PMUL0991-2,2501.87060546875,0,73395.242030859
0,SSNG0223-4,2573.58203125,0,73395.242030859
0,MUL1016-5,2605.08349609375,0,73395.242030859
0,SSNG0066-6,2566.844482421875,0,73395.242030859
0,PMUL4772-12,2580.681884765625,0,73395.242030859
0,PMUL2253-3,2590.903076171875,0,73395.242030859
0,MUL1352-4,2574.95654296875,0,73395.242030859
0,PMUL0487-7,2556.01220703125,0,73395.242030859
0,SNG1138-3,2513.351318359375,0,73395.242030859
0,PMUL2010-7,2634.68359375,0,73395.242030859
0,PMUL1179-5,2617.364013671875,0,73395.242030859
0,SNG1363-3,2603.078857421875,0,73395.242030859
0,MUL2150-7,2603.6328125,0,73395.242030859
0,WOZ20312-2,2561.537841796875,0,73395.242030859
0,SNG0708-3,2577.3212890625,0,73395.242030859
0,PMUL1404-3,2512.89697265625,0,73395.242030859
0,PMUL3898-10,2571.806884765625,0,73395.242030859
0,PMUL3810-6,2555.389892578125,0,73395.242030859
0,WOZ20674-3,2558.073974609375,0,73395.242030859
0,PMUL4204-6,2611.8818359375,0,73395.242030859
0,PMUL1185-5,2647.502197265625,0,73395.242030859
0,WOZ20339-1,2543.6572265625,0,73395.242030859
0,PMUL2486-3,2560.89013671875,0,73395.242030859
0,PMUL3505-2,2630.495361328125,0,73395.242030859
0,SNG1082-4,2587.251953125,0,73395.242030859
0,SNG0793-3,2606.584716796875,0,73395.242030859
0,MUL0521-4,2604.140625,0,73395.242030859
0,PMUL0603-6,2576.748291015625,0,73395.242030859
0,SNG02015-4,2639.560302734375,0,73395.242030859
