round,selected_turn_id,max_entropy,select_turn_per_round_time
0,MUL1950-7,2424.29126,59273.79911
0,PMUL3752-3,2340.706299,59273.79911
0,PMUL3020-0,2504.946045,59273.79911
0,PMUL1571-0,2493.51001,59273.79911
0,MUL0429-1,2502.894775,59273.79911
0,MUL0872-0,2482.287354,59273.79911
0,SNG01360-1,2489.496582,59273.79911
0,PMUL4509-1,2478.062988,59273.79911
0,MUL1449-0,2431.192871,59273.79911
0,MUL0586-3,2428.001709,59273.79911
0,MUL1237-2,2481.646973,59273.79911
0,SSNG0126-6,2312.169189,59273.79911
0,MUL1630-1,2521.878906,59273.79911
0,PMUL4559-6,2438.003174,59273.79911
0,SSNG0342-1,2535.001709,59273.79911
0,PMUL2616-5,2446.371826,59273.79911
0,PMUL3851-1,2440.769775,59273.79911
0,MUL1688-5,2476.414551,59273.79911
0,SNG1272-2,2557.781982,59273.79911
0,WOZ20137-1,2502.478516,59273.79911
0,PMUL3948-0,2507.479248,59273.79911
0,WOZ20541-2,2523.587158,59273.79911
0,SSNG0071-0,2522.436523,59273.79911
0,SSNG0383-1,2365.211426,59273.79911
0,SNG01540-1,2666.848633,59273.79911
0,PMUL0654-1,2388.390137,59273.79911
0,WOZ20581-1,2508.959473,59273.79911
0,MUL1205-1,2590.520996,59273.79911
0,SNG0674-2,2382.573242,59273.79911
0,MUL2207-0,2460.428467,59273.79911
0,PMUL2217-0,2434.354736,59273.79911
0,PMUL3096-2,2425.434082,59273.79911
0,WOZ20317-1,2475.086182,59273.79911
0,PMUL2613-1,2508.744629,59273.79911
0,SNG01618-1,2407.498047,59273.79911
0,PMUL1216-2,2430.786865,59273.79911
0,MUL1161-2,2466.787354,59273.79911
0,PMUL3346-1,2464.556396,59273.79911
0,MUL2492-0,2406.803467,59273.79911
0,PMUL3207-1,2496.421631,59273.79911
0,PMUL0827-1,2448.547363,59273.79911
0,PMUL3690-2,2471.823975,59273.79911
0,MUL0074-3,2403.016113,59273.79911
0,MUL2326-3,2371.083984,59273.79911
0,SSNG0271-0,2409.594238,59273.79911
0,SNG01631-1,2451.461182,59273.79911
0,MUL1944-2,2489.357422,59273.79911
0,PMUL0113-1,2420.04834,59273.79911
0,SSNG0279-2,2525.34375,59273.79911
0,MUL1388-3,2494.310791,59273.79911
0,MUL1344-1,2466.100098,59273.79911
0,SNG02042-1,2649.931885,59273.79911
0,MUL1320-2,2453.248047,59273.79911
0,MUL1625-3,2373.725586,59273.79911
0,PMUL0091-4,2406.687012,59273.79911
0,PMUL0351-1,2441.410156,59273.79911
0,PMUL1680-3,2435.543213,59273.79911
0,SNG0557-1,2417.470459,59273.79911
0,PMUL3065-3,2424.437012,59273.79911
