round,selected_turn_id,max_entropy,min_confidence
0,PMUL4401-9,0,482.70086669921875
0,PMUL1225-8,0,294.3383483886719
0,PMUL4650-6,0,512.8656005859375
0,PMUL2631-5,0,375.4874572753906
0,PMUL0395-7,0,379.0519714355469
0,SNG1277-4,0,311.36981201171875
0,PMUL1229-4,0,408.9168395996094
0,SNG1104-3,0,223.61886596679688
0,PMUL2834-9,0,218.7613983154297
0,MUL0863-8,0,291.6746520996094
0,SNG01188-4,0,193.1201934814453
0,WOZ20042-0,0,115.54318237304688
0,PMUL0801-10,0,589.0970458984375
0,SNG1054-1,0,111.57145690917969
0,MUL0542-6,0,439.11639404296875
0,PMUL0898-2,0,282.5807189941406
0,MUL1345-5,0,314.3027038574219
0,PMUL0319-4,0,272.62823486328125
0,MUL2217-7,0,564.43896484375
0,MUL1605-7,0,475.90240478515625
0,PMUL0196-5,0,601.62353515625
0,PMUL4256-6,0,368.1953125
0,SNG01325-3,0,292.95281982421875
0,PMUL2776-6,0,541.6334838867188
0,MUL2514-2,0,251.36526489257812
0,SNG01711-2,0,287.84173583984375
0,PMUL1217-4,0,425.890380859375
0,SSNG0293-3,0,232.33831787109375
0,PMUL4148-5,0,574.6014404296875
0,SNG0683-4,0,389.95831298828125
0,PMUL0409-4,0,487.8597412109375
0,PMUL3369-2,0,264.6015930175781
0,MUL1279-10,0,421.23956298828125
0,MUL2667-4,0,361.9800720214844
0,PMUL4283-5,0,549.6630859375
0,PMUL4662-5,0,647.5369262695312
0,SNG0576-0,0,221.87493896484375
0,PMUL2393-7,0,498.753173828125
0,SNG1397-5,0,182.17579650878906
0,PMUL0621-9,0,691.1936645507812
0,MUL0096-6,0,196.0654754638672
0,PMUL2354-8,0,685.3057861328125
0,MUL2214-6,0,670.81298828125
0,SSNG0100-6,0,349.84649658203125
0,PMUL3696-10,0,328.52734375
0,PMUL4409-6,0,264.38641357421875
0,PMUL3321-8,0,637.9805908203125
0,SNG1219-10,0,394.895263671875
0,WOZ20354-1,0,177.9877471923828
0,PMUL3128-5,0,430.8471374511719
0,MUL0649-5,0,421.6352233886719
0,MUL1320-11,0,925.7831420898438
0,PMUL2450-6,0,501.6337890625
0,MUL1103-10,0,351.55670166015625
0,MUL2503-5,0,444.04608154296875
0,WOZ20491-4,0,164.34268188476562
0,WOZ20418-0,0,180.7169189453125
0,PMUL3443-3,0,424.767578125
0,PMUL2696-10,0,313.3062744140625
0,PMUL3589-9,0,606.68212890625
0,MUL0336-6,0,513.183349609375
0,MUL1348-5,0,563.5722045898438
0,PMUL3515-6,0,568.6781616210938
0,MUL1748-6,0,359.05126953125
0,SSNG0101-3,0,510.9372253417969
0,SNG1241-1,0,251.87110900878906
0,PMUL4541-7,0,437.66485595703125
0,SNG0812-5,0,373.3526611328125
0,PMUL1216-4,0,448.858642578125
0,MUL2588-4,0,420.7683410644531
0,MUL1696-4,0,525.6220092773438
0,PMUL3223-10,0,632.2092895507812
0,MUL0592-6,0,368.6542053222656
0,MUL0381-6,0,684.6142578125
0,PMUL2797-1,0,222.578857421875
0,MUL0548-5,0,377.6934814453125
0,PMUL0144-8,0,520.780029296875
0,SNG01335-2,0,214.48397827148438
0,SSNG0072-2,0,331.54925537109375
0,PMUL1064-4,0,735.6312255859375
0,PMUL3953-6,0,416.9842834472656
0,MUL0143-5,0,539.9918212890625
0,PMUL4885-11,0,614.8804931640625
0,SNG0440-3,0,233.51300048828125
0,PMUL2557-6,0,328.7021789550781
0,PMUL0841-8,0,278.6938171386719
0,PMUL4983-5,0,611.531494140625
0,SNG0988-1,0,314.6192321777344
0,MUL0037-8,0,757.202880859375
0,MUL2445-5,0,516.0098266601562
0,PMUL4051-5,0,617.7991943359375
0,SNG0914-3,0,334.3514709472656
0,MUL1040-3,0,344.0957946777344
0,PMUL3947-10,0,565.8693237304688
0,PMUL3059-6,0,538.7864379882812
0,MUL0655-6,0,694.0420532226562
0,MUL2212-6,0,389.28106689453125
0,SNG0511-2,0,242.23837280273438
0,SNG01401-2,0,299.9250793457031
0,PMUL1367-6,0,364.2416076660156
0,PMUL2005-5,0,456.181640625
0,MUL1982-2,0,292.21820068359375
0,WOZ20257-1,0,244.25221252441406
0,SNG01180-3,0,257.5830078125
0,MUL0494-4,0,479.088623046875
0,SNG1268-3,0,365.7303466796875
0,MUL1420-3,0,394.9520568847656
0,PMUL4785-5,0,716.2513427734375
0,SSNG0083-3,0,324.7691345214844
0,PMUL0240-8,0,402.033935546875
0,PMUL2401-4,0,416.18011474609375
0,MUL2680-4,0,404.62615966796875
0,SNG0943-2,0,427.0289306640625
0,MUL2416-13,0,811.979248046875
0,SNG0598-2,0,229.57420349121094
0,PMUL4203-5,0,592.6375732421875
0,PMUL0271-18,0,697.0360107421875
0,MUL0790-5,0,503.5209045410156
0,MUL0956-8,0,469.50067138671875
0,MUL2607-7,0,333.6954345703125
0,WOZ20258-3,0,174.0529327392578
0,PMUL4779-6,0,393.6867980957031
0,PMUL3402-9,0,616.1632080078125
0,PMUL3747-7,0,545.3087768554688
0,MUL2091-4,0,528.205078125
0,PMUL1561-7,0,681.1510620117188
0,WOZ20609-2,0,111.98994445800781
0,PMUL1270-3,0,515.7772827148438
0,PMUL2268-11,0,415.6652526855469
0,SNG0461-0,0,166.07542419433594
0,WOZ20567-0,0,217.6676025390625
0,WOZ20610-0,0,168.3895263671875
0,PMUL1538-5,0,507.547607421875
0,MUL0349-10,0,459.1710205078125
0,WOZ20333-0,0,167.45819091796875
0,WOZ20568-3,0,177.55657958984375
0,MUL0740-9,0,651.6148681640625
0,WOZ20137-5,0,227.21334838867188
0,MUL2125-8,0,508.9422302246094
0,MUL2472-4,0,399.14581298828125
0,MUL0689-6,0,543.127197265625
0,MUL1847-7,0,377.42431640625
0,PMUL2562-12,0,576.5701904296875
0,MUL0250-9,0,729.3851318359375
0,SNG01565-3,0,298.42510986328125
0,PMUL0322-9,0,725.3662109375
0,PMUL0468-8,0,312.6615295410156
0,PMUL0695-6,0,386.9833068847656
0,PMUL1904-5,0,523.3770141601562
0,PMUL1448-7,0,455.2301330566406
0,PMUL4878-7,0,246.5267791748047
0,SNG0654-3,0,355.3792724609375
0,PMUL1382-3,0,606.0181274414062
0,MUL2426-6,0,277.9058532714844
0,PMUL1262-5,0,432.18231201171875
0,MUL0643-6,0,406.3152770996094
0,MUL0961-7,0,636.9930419921875
0,MUL2481-6,0,402.658447265625
0,MUL0833-5,0,512.6248779296875
0,SNG0265-4,0,277.84503173828125
0,PMUL1390-3,0,308.8940734863281
0,PMUL2939-7,0,625.3726806640625
0,PMUL0968-10,0,380.2303771972656
0,SSNG0183-6,0,389.4586181640625
0,PMUL2584-5,0,343.9197082519531
0,SNG02323-2,0,430.3057556152344
0,MUL2631-8,0,414.5628662109375
0,PMUL1741-6,0,705.3585815429688
0,PMUL3030-5,0,469.8266296386719
0,MUL0922-0,0,470.12542724609375
0,PMUL1986-6,0,699.7220458984375
0,PMUL4696-1,0,207.38442993164062
0,PMUL0220-6,0,244.00930786132812
0,PMUL4349-3,0,572.4571533203125
0,PMUL1049-6,0,417.3216552734375
0,SNG1389-4,0,87.3434829711914
0,PMUL0514-4,0,401.65264892578125
0,PMUL2399-6,0,463.5196838378906
0,PMUL2345-3,0,458.1342468261719
0,MUL1051-5,0,822.6260375976562
0,MUL2398-6,0,534.7862548828125
0,MUL1530-6,0,510.1361999511719
0,PMUL0424-8,0,442.3746643066406
0,PMUL2809-6,0,560.614013671875
0,PMUL0052-4,0,398.3064270019531
0,PMUL0225-8,0,526.3260498046875
0,SNG01717-4,0,224.19189453125
0,PMUL2862-2,0,237.9401397705078
0,PMUL0386-7,0,282.8504638671875
0,PMUL0671-2,0,258.5483093261719
0,SNG0312-4,0,270.28094482421875
0,PMUL2590-13,0,696.8861694335938
0,PMUL4039-6,0,267.6737976074219
0,PMUL4175-7,0,333.220947265625
0,PMUL2885-5,0,515.6173706054688
0,PMUL1331-5,0,474.43231201171875
0,WOZ20072-1,0,180.84475708007812
0,PMUL2150-5,0,628.2271118164062
0,PMUL4847-4,0,381.399658203125
0,SNG0536-1,0,241.97409057617188
0,SNG0042-1,0,287.1038513183594
0,PMUL3711-7,0,653.2303466796875
0,SNG01424-1,0,323.8826599121094
0,PMUL3087-5,0,416.7373352050781
0,MUL2226-6,0,625.8500366210938
0,PMUL1783-6,0,569.811767578125
0,PMUL2621-6,0,751.0350952148438
0,PMUL4841-4,0,376.7489318847656
0,MUL1577-3,0,421.89837646484375
0,SNG1383-0,0,182.05445861816406
0,PMUL4461-5,0,624.9926147460938
0,PMUL1097-4,0,561.2371215820312
0,PMUL0324-3,0,357.82464599609375
0,PMUL1757-6,0,599.2963256835938
0,MUL2515-6,0,531.338134765625
0,MUL0315-4,0,406.3092041015625
0,PMUL4130-7,0,718.542236328125
0,PMUL0411-7,0,750.9224243164062
0,PMUL1742-5,0,527.576171875
0,PMUL3727-7,0,716.5784912109375
0,PMUL3628-7,0,451.2467041015625
0,PMUL3870-7,0,487.3318176269531
0,SNG0432-4,0,285.6595153808594
0,MUL0709-8,0,743.9080810546875
0,MUL1632-4,0,494.7235107421875
0,PMUL1738-5,0,534.0822143554688
0,PMUL3018-2,0,212.437744140625
0,PMUL1760-6,0,482.1830139160156
0,MUL1611-3,0,261.9441223144531
0,PMUL3854-5,0,723.2809448242188
0,MUL2561-6,0,542.0153198242188
0,PMUL0497-6,0,406.2227783203125
0,PMUL1609-6,0,464.4713439941406
0,PMUL1418-4,0,494.8982849121094
0,PMUL1218-4,0,519.868896484375
0,SNG1053-1,0,234.21018981933594
0,PMUL4525-11,0,426.1099853515625
0,PMUL2171-7,0,669.9635620117188
0,SSNG0226-3,0,405.0489196777344
0,MUL1087-7,0,840.4401245117188
0,MUL2443-5,0,229.71270751953125
0,PMUL4266-6,0,491.759765625
0,PMUL3502-5,0,537.140625
0,SSNG0150-4,0,291.5709228515625
0,MUL1522-10,0,689.11767578125
0,SNG1084-3,0,132.99032592773438
0,PMUL4935-9,0,343.41552734375
0,PMUL0549-4,0,512.9957885742188
0,PMUL1111-6,0,319.5381774902344
0,MUL2328-3,0,357.00323486328125
0,MUL0981-6,0,233.49237060546875
0,WOZ20096-2,0,175.1881103515625
0,SNG0717-4,0,214.755615234375
0,MUL0183-9,0,384.9916076660156
0,MUL0431-3,0,506.17864990234375
0,PMUL2371-7,0,261.7891845703125
0,MUL0322-5,0,374.8600769042969
0,MUL0102-2,0,547.6753540039062
0,MUL2582-5,0,380.5955505371094
0,PMUL1391-6,0,449.55633544921875
0,SNG01554-2,0,162.42794799804688
0,MUL0327-8,0,541.3946533203125
0,PMUL3761-6,0,541.9843139648438
0,MUL1395-8,0,395.52435302734375
0,MUL0686-8,0,542.8477172851562
0,MUL2494-6,0,440.2911682128906
0,WOZ20098-3,0,240.64683532714844
0,PMUL3356-5,0,214.78021240234375
0,PMUL1279-3,0,542.1212158203125
0,MUL2153-7,0,581.089111328125
0,MUL2098-7,0,757.8822021484375
0,SNG01849-2,0,459.7668151855469
0,MUL0794-9,0,602.3973388671875
0,MUL1735-8,0,432.07086181640625
0,PMUL3132-4,0,356.4085693359375
0,MUL2634-7,0,527.76123046875
0,PMUL3103-16,0,645.138427734375
