round,selected_turn_id,max_entropy,min_confidence,select_turn_per_round_time
0,PMUL0814-0,0,2435.651123046875,57913.38875079155
0,SSNG0111-1,0,2457.148193359375,57913.38875079155
0,WOZ20259-2,0,2028.3876953125,57913.38875079155
0,MUL0609-2,0,1697.4366455078125,57913.38875079155
0,SNG01666-1,0,2538.414306640625,57913.38875079155
0,PMUL0876-0,0,2600.845703125,57913.38875079155
0,SNG01176-0,0,2135.7197265625,57913.38875079155
0,PMUL1447-1,0,2368.076171875,57913.38875079155
0,MUL2267-1,0,2138.279052734375,57913.38875079155
0,PMUL1432-1,0,2381.489990234375,57913.38875079155
0,MUL1223-3,0,2505.48583984375,57913.38875079155
0,SSNG0168-2,0,2635.179443359375,57913.38875079155
0,SSNG0316-1,0,2406.465087890625,57913.38875079155
0,MUL0324-1,0,2458.100341796875,57913.38875079155
0,MUL0247-2,0,2211.89208984375,57913.38875079155
0,MUL1397-4,0,2524.42578125,57913.38875079155
0,PMUL3450-0,0,2234.48095703125,57913.38875079155
0,SSNG0261-1,0,2326.120361328125,57913.38875079155
0,MUL2625-2,0,2613.5048828125,57913.38875079155
0,SNG1239-2,0,1763.0908203125,57913.38875079155
0,SNG0737-3,0,2542.0234375,57913.38875079155
0,MUL2062-1,0,2422.541748046875,57913.38875079155
0,PMUL0617-7,0,2685.110595703125,57913.38875079155
0,PMUL3887-2,0,2287.76806640625,57913.38875079155
0,PMUL1589-0,0,2382.0947265625,57913.38875079155
0,SNG0281-0,0,2215.404541015625,57913.38875079155
0,SNG0592-2,0,2475.7548828125,57913.38875079155
0,MUL1063-3,0,2409.0322265625,57913.38875079155
0,SNG0852-2,0,2222.713623046875,57913.38875079155
0,PMUL1227-1,0,2476.77197265625,57913.38875079155
0,MUL0558-0,0,2567.41455078125,57913.38875079155
0,SNG0985-0,0,2518.556884765625,57913.38875079155
0,SSNG0016-1,0,2556.154541015625,57913.38875079155
0,PMUL0734-0,0,2289.751953125,57913.38875079155
0,WOZ20352-0,0,2472.9091796875,57913.38875079155
0,PMUL3937-4,0,2491.67236328125,57913.38875079155
0,MUL1814-2,0,2533.20166015625,57913.38875079155
0,PMUL3698-0,0,2664.55615234375,57913.38875079155
0,PMUL3090-7,0,2673.301513671875,57913.38875079155
0,WOZ20289-2,0,2536.71484375,57913.38875079155
0,SNG0956-0,0,2452.33642578125,57913.38875079155
0,PMUL3382-3,0,2523.943115234375,57913.38875079155
0,MUL0357-1,0,2394.93017578125,57913.38875079155
0,PMUL0039-3,0,2641.73974609375,57913.38875079155
0,WOZ20606-1,0,1971.6416015625,57913.38875079155
0,MUL0664-1,0,2485.745361328125,57913.38875079155
0,PMUL1175-2,0,2611.392578125,57913.38875079155
0,MUL0521-0,0,2581.299560546875,57913.38875079155
0,PMUL1481-2,0,2617.0703125,57913.38875079155
0,PMUL3780-4,0,2524.570556640625,57913.38875079155
0,WOZ20311-0,0,2487.5615234375,57913.38875079155
0,PMUL0038-1,0,2477.919677734375,57913.38875079155
0,SSNG0086-0,0,2374.12109375,57913.38875079155
0,PMUL0195-6,0,2667.81884765625,57913.38875079155
0,MUL1631-1,0,2579.607421875,57913.38875079155
0,SNG0706-0,0,2513.0107421875,57913.38875079155
0,MUL1104-0,0,2389.785888671875,57913.38875079155
0,PMUL4543-1,0,2169.02880859375,57913.38875079155
0,PMUL2184-2,0,2234.8955078125,57913.38875079155
0,PMUL4596-2,0,2348.83544921875,57913.38875079155
0,SSNG0265-1,0,2495.1474609375,57913.38875079155
0,WOZ20313-0,0,2398.851806640625,57913.38875079155
0,MUL0763-3,0,2605.963623046875,57913.38875079155
0,PMUL3289-1,0,2050.3427734375,57913.38875079155
0,PMUL1814-3,0,2414.738525390625,57913.38875079155
0,PMUL2439-0,0,2599.2470703125,57913.38875079155
0,PMUL2444-2,0,2488.32080078125,57913.38875079155
0,PMUL1584-0,0,2653.42578125,57913.38875079155
0,PMUL4975-3,0,2541.76416015625,57913.38875079155
0,MUL0709-1,0,2195.88525390625,57913.38875079155
0,MUL0322-2,0,2544.91455078125,57913.38875079155
0,PMUL3061-6,0,2542.231689453125,57913.38875079155
0,MUL1434-1,0,2591.403076171875,57913.38875079155
0,MUL0720-1,0,2665.8994140625,57913.38875079155
0,PMUL4450-1,0,2528.329833984375,57913.38875079155
0,MUL2477-2,0,2502.254150390625,57913.38875079155
0,SNG1109-0,0,2478.5029296875,57913.38875079155
0,SNG0407-1,0,2441.468994140625,57913.38875079155
0,PMUL1527-1,0,2564.435546875,57913.38875079155
0,PMUL3610-0,0,2665.44384765625,57913.38875079155
0,PMUL2337-3,0,2416.41259765625,57913.38875079155
0,PMUL1894-1,0,2404.5166015625,57913.38875079155
0,PMUL2896-1,0,1901.2135009765625,57913.38875079155
0,PMUL4472-0,0,2413.1640625,57913.38875079155
